Código Materia;Nombre;Créditos;Prerequisitos(?:)*;Corequisitos(?:)*;Estado;Descripción
IELE 3338;Robótica [Profundización IELE-ISIS];3;IELE 2300:DERE 1300:LENG 2999:MATE 1208:QUIM 1103;IELE 3338L;Pendiente;Curso de profundización en el área de Automatización Industrial. El curso busca confrontar al estudiante en forma independiente a un proyecto de cierta magnitud en el área de la Robótica, el cual deberá afrontar usando las prácticas y herramientas de ingeniería adquiridas durante la carrera y usando adecuadamente los temas introducidos durante el semestre.
IELE 3338L;Laboratorio Robótica;0;;IELE 3338;Pendiente;
IELE CT;Curso Taller;3;;;Pendiente;Los estudiantes de los programas de Ingeniería Eléctrica o Electrónica deben escoger un área Mayor de profundización, el cual consiste de un ciclo de dos cursos específicos en el área de interés y un curso taller de diseño. Todos los cursos no tomados como área mayor son válidos como materias electivas para cualquiera de los dos programas. Las áreas de profundización en Ingeniería Eléctrica son: Sistemas de potencia (cursos IELE 3150, IELE 3152 e IELE 3108), Sistemas Eléctricos Industriales (cursos IELE 3138, IELE 3106 e IELE 3108) o Gestión de la Energía (cursos IELE 3150, IELE 3152 e IELE 3108). Las áreas de profundización en Ingeniería Electrónica son: Sistemas Electrónicos (cursos IELE 3206, IELE 3222 y IELE 3208), Telecomunicaciones (cursos IELE 3412, IELE 3420 e IELE 3430) y Automatización Industrial (cursos IELE 3336, IELE 3338 e IELE 3330).
IELE 3002;Proyecto de Grado - Ingeniería Electrónica;3;IELE 3208?IELE 3330?IELE 3430:IELE 2402:IELE 2100:IELE 2300:IELE 2009:IIND 2401;;Pendiente;El objetivo es que los estudiantes de último semestre desarrollen un trabajo individual de investigación que consiste en el estudio y desarrollo de una problemática, bajo la asesoría de un profesor y dentro del campo de la especialidad seleccionado por cada estudiante. Al final del trabajo el estudiante entrega un documento escrito y realiza una sustentación pública oral.
CBU XXXX;Ciclo Básico Uniandino;2;;;Pendiente;
DEPO 1213;Rumba Aeróbica;1;;;Pendiente;La clase de Rumba Aeróbica consiste en realizar movimientos aeróbicos de caderas, cintura y hombros se combinan diferentes ritmos como salsa, merengue, zamba, música colombiana con el fin de ir adquiriendo ritmo, soltura, armonía, buena expresión corporal y elegancia, ayuda a mejorar el trabajo cardiovascular, elimina porcentajes de grasa, mejora el balance eleva la sensación de bienestar psicológico y tiene muchos beneficios para la salud  
ISIS 1226;Diseño y Programación O.O.;3;ISIS 1225;;Pendiente;
CBPC 1101;Cosmos: El Universo Físico;2;;;Pendiente;Este curso es una introducción a la astronomía, temáticamente centrada en el Sistema Solar, con énfasis en observaciones propias. Estudiamos el movimiento diario de los astros, el comportamiento anual del Sol y mensual de la Luna, y los movimientos de los planetas que pueden ser observados a simple vista. Exploramos algunos aspectos sociales de la astronomía, como el calendario, la influencia de las estaciones en la cultura, la importancia de la astronomía para la navegación, o el impacto cultural de la revolución copernicana. Conocimientos: Los estudiantes aprenden a reconocer las constelaciones, y a saber dónde encontrarlas en cada época del año. Aprenden a distinguir los planetas por sus movimientos, y a ver con sus propios ojos el movimiento de la Luna alrededor de la Tierra. Comprenden el ciclo de las estaciones y la sucesión de los eclipses, y saben predecir posiciones de planetas. Habilidades: Los estudiantes practican el uso de la Carta Celeste  miden las posiciones de los astros usando instrumentos caseros  observan cuidadosamente un fenómeno y registran lo observado  comparan una observación con otra, y sacan conclusiones. También buscan datos en fuentes confiables, los tabulan y grafican, y saben leer la gráfica. Actitudes: Además de curiosidad y admiración por la naturaleza, queremos cultivar la costumbre de observar el cielo por sí mismos sin necesidad de instrumentos, entender algo de todo ese espectáculo, y disfrutarlo  cuando quieran saber si estamos en menguante, lo averiguan con un solo vistazo al cielo (la fuente primaria) en lugar recurrir a un almanaque.
DEPO 1014;Street Jazz;1;;;Pendiente;
MATE 2301;Ecuaciones Diferenciales;3;MATE 1208;;Pendiente;Métodos generales de resolución de ecuaciones de primer orden. Ecuaciones lineales de orden 2 o superior. Ecuaciones lineales de orden 2 con coeficientes variables. Aplicaciones a la física. Sistemas de ecuaciones de primer orden. Sistemas lineales homogéneos y no homogéneos. Aplicación de series de potencias a la solución de ecuaciones diferenciales. La transformada de Laplace. Series de Fourier.  Funciones ortogonales. Ecuaciones diferenciales parciales. Aplicaciones: ondas, vibraciones, conducción del calor.
FISI 1048;Física Moderna;3;FISI 1028:MATE 1208;;Pendiente;En este curso se estudia algunas áreas de la física que han surgido durante el siglo 20, como la Relatividad, la Mecánica Cuántica, y la estructura de la materia: el átomo, la molécula, la materia macroscópica en estado sólido, el núcleo atómico y las partículas elementales, y algunas aplicaciones como el láser y la energía nuclear. El nivel del curso es introductorio.
ISIS 1211;Cupi Taller;0;;;Pendiente;Cupi Taller - IP, EDA, DPOO
DEPO 1217;Tai Chi;1;;;Pendiente;
CBPC 1299;Crisis Planetaria y Sustentabilidad (Tipo E);2;;;Pendiente;
CBCA XXXX;CBU en área de Culturas, Artes y Humanidades;2;;;Pendiente;
CBCO XXXX;CBU en área de Colombia;2;;;Pendiente;
ISIS 4826;Robótica Móvil y Sistemas Autónomos [Profundización ISIS];4;ISIS 1105:ISIS 1106:ISIS 2304:ISIS 2007:ISIS 2203:ISIS 2503:ISIS 2403:DERE 1300:LENG 2999:FISI 1028:FISI 1029:MATE 1208;;Pendiente;El curso estudia la teoría, problemas específicos y métodos de solución que buscan darle a un robot móvil (agente físico) o un conjunto de robots la capacidad de movilidad con la que puede(n) resolver su(s) tarea(s) en ambientes conocidos o desconocidos. Los métodos de base son: guiado por un usuario (basado en Interacción Hombre-Robot), completamente autónomo (basado en representación y búsqueda en espacios conocidos/desconocidos) o supervisado (con intervención limitada de un usuario). Las estrategias de movimiento/navegación se definen en función principalmente de los siguientes factores: el nivel de intervención de un usuario/supervisor, las capacidades de movilidad y sensoriales del robot(s), la tarea a ejecutar, la información disponible sobre el ambiente de intervención y su nivel de incertidumbre, el número de robots participantes, el tiempo disponible y el nivel de interacción del usuario con el robot(s).  El tema del curso permite entender la problemática de trabajar con máquinas físicas programables (robots) que tratan información heterogénea y con incertidumbre (errores o imprecisiones). Adicionalmente, entender problemáticas en ambientes dinámicos (con condiciones cambiantes en tiempo real) cuyas condiciones son críticas en el diseño de sus soluciones.  La contribución al programa MISIS, en particular al perfil Computación Aplicada, es la comprensión de nuevos problemas y la aplicación de etapas de diseño y desarrollo de soluciones computacionales donde se requiere la aplicación de conocimientos/habilidades de diferentes áreas de la Ingeniería: fundamentos matemáticos, programación de soluciones computacionales, programación de dispositivos físicos con motores y sensores, técnicas de interacción humano-máquina, validación en simulación, validación experimental, uso de herramientas de diseño, desarrollo y pruebas.
IELE 4014;Machine Learning [Profundización IELE-ISIS];4;;;Pendiente;Machine Learning estudia la solución por computador de problemas mediante algoritmos que aprenden de su experiencia. Este tipo de técnicas son hoy en día muy exitosas en contextos en los que una solución programada no es posible. El objetivo de este curso es proveer al estudiante con las herramientas necesarias para la aplicación de técnicas de Machine Learning a la solución de problemas prácticos. Se estudian aspectos generales necesarios para la solución de cualquier problema como pre-procesamiento de datos, evaluación y selección de modelo. Se estudian las técnicas más populares para aprendizaje supervisado tales como Redes Neuronales y Support Vector Machines.
IELE 3336;Automatización Industrial [Profundización IELE];3;;;Pendiente;Curso de profundización en el área de Automatización Industrial. La rápida evolución de la informática, las comunicaciones y la tecnología de sensores ha llevado a la proliferación de nuevos sistemas de automatización industrial en aplicaciones de producción, de manufactura, de sistemas de control de tráfico, de sistemas de control distribuido, etc. La "actividad " en estos sistemas se rige por las secuencias operativas diseñadas por los seres humanos. Este curso se enfoca en formar ingenieros capaces de conceptualizar y diseñar dispositivos, máquinas y sistemas para la automatización industrial.
IELE 3330;Taller de Control [Curso Taller IELE];3;IELE 1006:IELE 1400:IELE 2300:DERE 1300:LENG 2999:MATE 1208:QUIM 1103;;Pendiente;Curso Taller del área de profundización en Automatización Industrial. El objetivo de este curso es hacer que el estudiante se enfrente a un proyecto de diseño en el área de control, bajo la asesoría de un profesor, quien actúa como director del proyecto. Los integrantes del curso trabajan sobre un mismo tema pero en módulos del proyecto complementarios. En este curso el estudiante se ve enfrentado a un verdadero trabajo en equipo, en el que el resultado depende de la acción coordinada de varios grupos. Entre otros temas, se incluye temáticas tales como gestión de proyectos, calidad, confiabilidad, análisis de mercado, impacto social y ambiental. El curso debe llevar al estudiante a enfrentarse a un proyecto en forma integral, desde su planteamiento hasta la implementación final, pasando por sus aspectos técnicos, financieros, administrativos, económicos, ambientales, etc.
IELE 4011;Optimización;4;IELE 2100:IELE 2206:IELE 2402:IELE 2300:IELE 2009:IIND 2401;;Pendiente;Este curso es una introducción a las técnicas de optimización que usualmente se requieren emplear al solucionar problemas en diversas áreas de ingeniería. En la primera componente del curso se introducirán conceptos de programación no lineal sin y con restricciones, y los principales métodos de solución para este tipo de problemas. En la segunda parte del curso se estudiará programación lineal, incluyendo aplicaciones a problemas de transporte y flujo en redes. A lo largo del curso se asignarán tareas y prácticas de laboratorio en las cuales el estudiante tendrá la oportunidad de aplicar las técnicas estudiadas a problemas prácticos en ingeniería eléctrica y electrónica.  
ISIS 4219;Machine Learning Techniques: Perfomance and Applicability;4;ISIS 1105:ISIS 1106:ISIS 2304:ISIS 2007:ISIS 2203:ISIS 2503:ISIS 2403:IIND 2106:IIND 2401:LENG 2999:LITE 1622:FISI 1028:MATE 1208;;Pendiente;El curso aborda los fundamentos y técnicas del aprendizaje automático (machine learning), con énfasis en las redes neuronales artificiales y el aprendizaje profundo (deep learning). Igualmente, trata sobre cómo utilizar, de manera efectiva, los algoritmos de aprendizaje en una diversidad de dominios, tomando en cuenta la naturaleza del problema y los recursos informáticos disponibles
DEPO 1247;Expresión Corporal;1;;;Pendiente;
MISW XXXX;Electiva profesional MISW (2 créditos);2;;;Pendiente;
CBCA 1027;Nuevos Medios;2;;;Pendiente;El curso propone un recorrido histórico que estudia y analiza las diferentes expresiones multimediales que han existido desde los inicios de la creación humana. El postulado que lo rige se puede resumir en la frase, "nuevos medios, viejas ideas". Por medio de la relación entre diversos medios, (imagen, texto, palabra, sonido, experiencias hápticas, espaciales y temporales), las cuales cruzan los terrenos de las artes, las ciencias y las tecnologías, se busca generar tanto una contextualización histórica como una sensibilización, en torno a estas formas de investigación y creación que se presentan como documentos del pensamiento y búsquedas de la humanidad. Estos procesos y avances a su vez han generado significativos cambios en nuestras esferas socioculturales desde la antigu?edad hasta nuestros tiempos. Por este motivo, es necesario hacer una reflexión crítica en torno a ellos.
IELE 3222;Arquitectura y Diseño de Sistemas Digitales;3;IELE 2206:IELE 2210:QUIM 1103:MATE 1207:LENG 2999:LITE 1622;IELE 3222L;Pendiente;
IELE 4922;Reinforcement Learning;4;IELE 2100:IELE 2206:IELE 2402:IELE 2300:IELE 2009;;Pendiente;
ISIS 3991;Práctica Laboral - Tiempo completo;6;;;Pendiente;Cuenta como 1 electiva profesional de ISIS
IELE 3206;Instrumentación Electrónica;3;IELE 2206:LENG 2999:QUIM 1103;IELE 3206L;Pendiente;En este curso se estudian los elementos que constituyen un sistema de medida electrónico. El curso se centra en el estudio de circuitos y dispositivos específicos que constituyen los diferentes bloques de una cadena de medición con el fin de realizar un sistema completo para la captura de señales procedentes de un sistema físico. El recorrido conceptual incluye el estudio de sensores, circuitos de acondicionamiento, adaptación y conversión de señal. El estudiante integrará elementos de electrónica análoga, digital, microprocesadores y control entre otros, para aplicarlos en la solución fina de sistemas electrónicos de medición.
